Name,"Position Name","Activity Name","Field Time","Total Distance (m)","LSR Total distance (m)","HSR Total distance (m)","VHSR Total Distance (m)","SPR Total Distance (m)","SPR + Total Distance (m)","Acceleration B2-3 Total Efforts (Gen 2)","Deceleration B2-3 Total Efforts (Gen 2)","VHSR + SPR effort","Sprint effort","Maximum Velocity (km/h)","Meterage Per Minute"
"Madelynn ANDERSON - MT 2",Attaquante,"RCL - LOSC",21,2308.71509,631.71997,279.48001,153.09,16.87,0,2,8,10,1,24.02803,109.54237
"Louann ARCHIER - MT 1",Attaquante,"RCL - LOSC",49,5362.29004,1557.84998,525.95001,223.95,70.84,28.81,9,15,20,5,27.06489,108.70609
"Louann ARCHIER - MT 2",Attaquante,"RCL - LOSC",30,3353.27197,932.53003,371.54999,132.78999,48.6,36.16,5,12,14,4,27.79699,111.09497
"Tess DAVID - MT 1",Sentinelle,"RCL - LOSC",49,6003.94482,2127.01001,1012.53003,250.98,14.49,0,7,19,19,1,23.73341,121.71392
"Tess DAVID - MT 2",Sentinelle,"RCL - LOSC",51,5848.83984,2133.45996,936.46997,140.28999,27.46,0,13,21,11,2,25.13576,114.10218
"Fatima EL GHAZOUANI - MT 1","Défenseur Central","RCL - LOSC",49,5177.06738,1482.38,417.06,243.73,78.32,35.87,4,8,16,5,26.5734,104.95119
"Fatima EL GHAZOUANI - MT 2","Défenseur Central","RCL - LOSC",51,5031.05225,1410.60999,391.82001,141.89999,31.03,0,6,6,12,2,24.46102,98.14836
"Aude GBEDJISSI - MT 1",Attaquante,"RCL - LOSC",49,4759.86621,1196.93994,384.32999,121.11,15.7,0,7,4,9,2,23.4727,96.49355
"Aude GBEDJISSI - MT 2",Attaquante,"RCL - LOSC",51,4958.22412,1069.20996,476.10999,234.87,112.24,47.85,21,20,21,9,27.47473,96.72759
"Sherly JEUDY - MT 2",Attaquante,"RCL - LOSC",13,1406.93164,339.98999,209.35001,78.9,17.93,0,1,5,6,1,24.98883,108.58747
"Blandine JOLY - MT 1",Gardienne,"RCL - LOSC",49,2747.65039,229.52,44.87,13.46,0,0,0,1,1,0,22.97379,55.70126
"Blandine JOLY - MT 2",Gardienne,"RCL - LOSC",51,3131.79297,218.92999,48.88,1.46,0,0,1,3,0,0,19.27117,61.09663
"Jennifer LIMAGE - MT 1","Défenseur Central","RCL - LOSC",49,5056.1416,1448.68005,612.10999,237.58,33.9,9.68,15,13,17,3,26.62477,102.49975
"Jennifer LIMAGE - MT 2","Défenseur Central","RCL - LOSC",51,5008.45361,1603.26001,460.73001,117.74,34.17,26.25,12,14,11,1,26.8272,97.70749
"Jennifer MEUNIER - MT 1",Piston,"RCL - LOSC",49,5022.01709,1261.01001,476.26999,261.35999,110.37,16,5,8,18,7,25.70482,101.80796
"Jennifer MEUNIER - MT 2",Piston,"RCL - LOSC",51,5031.21777,1306.05005,491.92999,210.84,39.88,0,14,21,17,3,24.33733,98.15159
"Dayana PIERRE LOUIS - MT 1",Sentinelle,"RCL - LOSC",49,5089.25586,1481.62,545.97998,222.64999,49.5,4.66,22,14,18,5,25.6213,103.17105
"Dayana PIERRE LOUIS - MT 2",Sentinelle,"RCL - LOSC",38,3789.6897,1046.31006,486.48999,145.16,12.81,0,4,11,9,1,24.18018,98.9389
"Laurine PINOT - MT 1",Piston,"RCL - LOSC",49,4657.51172,1185.09998,376.94,171.27,0,0,4,6,10,0,22.32144,94.41859
"Laurine PINOT - MT 2",Piston,"RCL - LOSC",51,4849.43848,1359.14001,332.66,130.34,16.94,0,8,6,7,2,23.88286,94.60535
"Carla POLITO - MT 1",Sentinelle,"RCL - LOSC",49,5501.83887,2083.08008,553.28003,110.83,0,0,4,8,11,0,22.4882,111.53507
"Carla POLITO - MT 2",Sentinelle,"RCL - LOSC",51,5372.43506,1973.80005,287.98001,42.96,0,0,10,7,3,0,23.00443,104.80823
"Fany PRONIEZ - MT 1",Piston,"RCL - LOSC",49,4975.39063,1248.83997,389.95999,262.75,79.29,91.29,7,17,22,8,29.69174,100.86274
"Fany PRONIEZ - MT 2",Piston,"RCL - LOSC",51,5317.16992,1525.80005,520.22998,219.75999,133.24001,66.86,10,15,19,9,28.56946,103.73009
