Name,"Position Name","Activity Name","Field Time","Total Distance (m)","LSR Total distance (m)","HSR Total distance (m)","VHSR Total Distance (m)","SPR Total Distance (m)","SPR + Total Distance (m)","Acceleration B2-3 Total Efforts (Gen 2)","Deceleration B2-3 Total Efforts (Gen 2)","VHSR + SPR effort","Sprint effort","Maximum Velocity (km/h)","Meterage Per Minute"
"Madelynn ANDERSON - MT 1",Gardienne,"LOSC - RCL",48,2068.31201,169.98,66.13,0,0,0,3,2,0,0,18.94213,42.95694
"Madelynn ANDERSON - MT 2",Gardienne,"LOSC - RCL",49,2186.89307,258.29999,46.81,2.55,0,0,1,1,0,0,19.28673,44.26327
"Clara BERTRAND - MT 2",Sentinelle,"LOSC - RCL",22,2413.57324,585.76001,282.94,181.89,24.65,0,3,8,15,2,24.12992,111.23739
"Tess DAVID - MT 1",Sentinelle,"LOSC - RCL",48,6007.18262,2229.21997,916.40002,202.57001,28.92,0,5,13,14,1,24.57906,124.76365
"Tess DAVID - MT 2",Sentinelle,"LOSC - RCL",28,3176.50391,1198.03003,487.20001,104,31.14,0,1,8,8,2,24.3653,114.63729
"Kaina EL KOUMIR - MT 1",Attaquante,"LOSC - RCL",48,5296.52734,1492.63,588.69,205.83,31.94,22.29,18,17,19,4,27.15135,110.00399
"Kaina EL KOUMIR - MT 2",Attaquante,"LOSC - RCL",49,4686.07422,1208.20996,443.37,214.35001,18.49,0,9,9,16,2,24.84379,94.84732
"Sofia GUELLATI - MT 1","Défenseur Central","LOSC - RCL",48,5339.07764,1770.80005,376.82001,136.78999,42.46,4.91,3,8,8,3,25.39666,110.88773
"Sofia GUELLATI - MT 2","Défenseur Central","LOSC - RCL",49,4976.48438,1468.73999,444.20999,131.72,26.49,29.32,2,4,10,3,27.23418,100.7253
"Emmy JEZEQUEL - MT 1","Défenseur Central","LOSC - RCL",48,5285.53174,1722.16003,435.54999,143.41,60.08,0.63,6,6,9,5,25.21264,109.77563
"Emmy JEZEQUEL - MT 2","Défenseur Central","LOSC - RCL",12,1214.97461,362.04001,94.12,32.78,17.14,0,2,2,2,1,24.34433,100.36412
"Romane LEJEUNE - MT 2","Défenseur Central","LOSC - RCL",37,3768.0481,994.59998,400.73001,158.85001,50.31,51.71,4,6,15,5,28.44553,101.01735
"Alizée MEREAU - MT 1",Attaquante,"LOSC - RCL",48,5471.67627,1445.18005,645.73999,246.50999,98.81,38.07,4,13,23,8,26.97022,113.64168
"Alizée MEREAU - MT 2",Attaquante,"LOSC - RCL",28,2943.34326,762.83002,381.94,131.81,25.09,0,4,5,9,2,24.169,106.22273
"Dayana PIERRE LOUIS - MT 2",Sentinelle,"LOSC - RCL",22,2109.5835,458.79999,237.66,175.32001,31.46,6.62,7,11,11,3,25.60749,97.22703
"Laurine PINOT - MT 1","Défenseur Central","LOSC - RCL",33,3611.39453,974.60999,478.97,162.25,13.66,0,8,13,11,1,24.77412,109.50699
"Carla POLITO - MT 1",Sentinelle,"LOSC - RCL",48,5749.18066,1989.51001,497.92999,120.35,0,0,7,13,9,0,22.46113,119.40519
"Carla POLITO - MT 2",Sentinelle,"LOSC - RCL",49,5433.44873,2204.62012,317.29999,56.59,0,0,5,3,6,0,21.56642,109.97437
"Fany PRONIEZ - MT 1",Piston,"LOSC - RCL",14,1709.85571,430.19,235,129.12,69.03,32.06,5,10,10,4,26.98973,124.04491
"Fany PRONIEZ - MT 2",Piston,"LOSC - RCL",49,5051.85059,1259.20996,534.34998,304.64999,132.83,77.25,11,34,24,12,29.30671,102.25073
"Manon REVELLI - MT 1",Piston,"LOSC - RCL",48,5477.09814,1702.76001,654.10999,330.51001,93.83,57.3,8,29,29,7,27.78055,113.75428
"Manon REVELLI - MT 2",Piston,"LOSC - RCL",49,4919.09814,1393.35999,650.98999,273.95999,94.51,4.12,6,15,19,6,25.50969,99.56379
"Emma SMAALI - MT 1","Défenseur Central","LOSC - RCL",48,4337.09131,896.25,245.46001,101.51,0,0,5,7,4,0,22.9927,90.07739
"Emma SMAALI - MT 2","Défenseur Central","LOSC - RCL",49,4105.34277,827.09998,226.27,92.62,15.22,14.9,1,6,9,2,27.46831,83.09317
"Naomie VAGRE - MT 1",Attaquante,"LOSC - RCL",48,5309.09766,1464.26001,450.09,234.64999,93.28,109.11,3,22,21,8,30.51724,110.26507
"Naomie VAGRE - MT 2",Attaquante,"LOSC - RCL",49,4769.2627,1168.31006,434.60999,200.64,80.13,15.41,3,15,18,5,26.10765,96.53108
