Name,"Position Name","Activity Name","Field Time","Total Distance (m)","LSR Total distance (m)","HSR Total distance (m)","VHSR Total Distance (m)","SPR Total Distance (m)","SPR + Total Distance (m)","Acceleration B2-3 Total Efforts (Gen 2)","Deceleration B2-3 Total Efforts (Gen 2)","VHSR + SPR effort","Sprint effort","Maximum Velocity (km/h)","Meterage Per Minute"
"Madelynn ANDERSON - MT 1",Attaquante,"RCL - Reims",47,5168.56006,1655.04004,464.60001,158.84,18.75,0,1,11,13,1,24.49428,109.05976
"Madelynn ANDERSON - MT 2",Attaquante,"RCL - Reims",37,3872.27051,1213.05005,286.84,127.19,3.24,0,2,11,9,0,23.15756,104.34434
"Louann ARCHIER - MT 1",Attaquante,"RCL - Reims",47,5459.03955,1613.67004,577.90002,243.46001,104.95,95.97,10,11,22,9,27.92712,115.18905
"Louann ARCHIER - MT 2",Attaquante,"RCL - Reims",49,5211.50244,1236.87,410.07999,343.35999,114.38,35.16,7,17,23,9,26.08252,105.9884
"Clara BERTRAND - MT 1",Sentinelle,"RCL - Reims",47,5721.21045,1983.08997,749.03003,153,48.27,22.82,8,19,13,3,26.62836,120.72102
"Clara BERTRAND - MT 2",Sentinelle,"RCL - Reims",37,4021.54639,1387.81995,461.45999,83.29,0,0,9,10,9,0,22.94055,108.36681
"Ambre BOUCHARD - MT 1",Gardienne,"RCL - Reims",47,1953.62646,124.81,18.28,0,0,0,1,0,0,0,17.52552,41.22271
"Ambre BOUCHARD - MT 2",Gardienne,"RCL - Reims",49,2239.98145,182.74001,6.44,5.8,0,0,0,0,1,0,20.67896,45.55539
"Julia EVRARD - MT 1",Sentinelle,"RCL - Reims",1,91.7523,15.86,0,0,0,0,0,0,0,0,12.1582,79.24482
"Julia EVRARD - MT 2",Sentinelle,"RCL - Reims",37,3907.83936,1330.77002,340.14999,124.44,12.3,0,4,9,7,1,24.19513,105.75066
"Aude GBEDJISSI - MT 1",Attaquante,"RCL - Reims",1,77.01457,0,0,0,0,0,0,0,0,0,5.8769,66.51611
"Aude GBEDJISSI - MT 2",Attaquante,"RCL - Reims",13,1409.05518,332.54001,122.03,73.54,28.22,0,1,1,3,2,25.00097,111.28366
"Emmy JEZEQUEL - MT 1",Attaquante,"RCL - Reims",1,108.09676,30.6,0,0,0,0,0,0,0,0,14.43151,93.36124
"Emmy JEZEQUEL - MT 2",Attaquante,"RCL - Reims",49,5254.15967,1297.44995,539.67999,278.79001,56.2,2.8,4,13,22,3,25.34503,106.85593
